normalized_country,iso3,action,suggestion_source,raw_examples,address_occurrences,paper_occurrences,note
paraguay,PRY,map,builtin,Paraguay,11,9,
uzbekistan,UZB,map,builtin,Uzbekistan,9,9,
cambodia,KHM,map,builtin,Cambodia,9,8,
burkina faso,BFA,map,builtin,Burkina Faso,8,6,
benin,BEN,map,builtin,Benin,7,5,
kyrgyzstan,KGZ,map,builtin,Kyrgyzstan,5,5,
madagascar,MDG,map,builtin,Madagascar,5,5,
new caledonia,NCL,map,legacy,New Caledonia,5,5,
afghanistan,AFG,map,builtin,Afghanistan,4,4,
bolivia,BOL,map,builtin,Bolivia,4,4,
eswatini,SWZ,map,builtin,Eswatini,5,4,
gabon,GAB,map,builtin,Gabon,4,4,
guatemala,GTM,map,builtin,Guatemala,4,4,
zambia,ZMB,map,builtin,Zambia,5,4,
cote ivoire,CIV,map,legacy,Cote Ivoire,4,3,
mozambique,MOZ,map,builtin,Mozambique,3,3,
andorra,AND,map,builtin,Andorra,2,2,
angola,AGO,map,builtin,Angola,2,2,
barbados,BRB,map,builtin,Barbados,2,2,
dem rep congo,COD,map,legacy,DEM REP CONGO,4,2,
dominican rep,DOM,map,legacy,Dominican Rep,2,2,
maldives,MDV,map,builtin,Maldives,2,2,
niger,NER,map,builtin,Niger,2,2,
papua n guinea,PNG,map,legacy,Papua N Guinea,2,2,
swaziland,SWZ,map,builtin,Swaziland,4,2,
timor leste,TLS,map,builtin,Timor-Leste,2,2,
togo,TGO,map,builtin,Togo,2,2,
antigua and barbu,ATG,map,manual,Antigua & Barbu,1,1,WoS truncated Antigua and Barbuda
bhutan,BTN,map,builtin,Bhutan,1,1,
burundi,BDI,map,builtin,Burundi,1,1,
djibouti,DJI,map,builtin,Djibouti,1,1,
dominica,DMA,map,builtin,Dominica,1,1,
french guiana,GUF,map,legacy,French Guiana,1,1,
gambia,GMB,map,builtin,Gambia,1,1,
guyana,GUY,map,builtin,Guyana,1,1,
lesotho,LSO,map,builtin,Lesotho,1,1,
malawi,MWI,map,builtin,Malawi,1,1,
mali,MLI,map,builtin,Mali,1,1,
rep congo,COG,map,legacy,Rep Congo,3,1,
seychelles,SYC,map,builtin,Seychelles,1,1,
st kitts and nevi,KNA,map,manual,St Kitts & Nevi,1,1,WoS truncated Saint Kitts and Nevis
tajikistan,TJK,map,builtin,Tajikistan,1,1,
vatican,VAT,map,legacy,Vatican,1,1,
