"iso3","year","polyarchy"
"BFA",2008,0.531
"BFA",2013,0.598
"BFA",2018,0.666
"BFA",2023,0.212
"KHM",2003,0.321
"KHM",2008,0.316
"KHM",2013,0.297
"KHM",2018,0.211
"KHM",2023,0.189
"IDN",2003,0.666
"IDN",2008,0.707
"IDN",2013,0.668
"IDN",2018,0.599
"IDN",2023,0.538
"MOZ",2003,0.422
"MOZ",2008,0.456
"MOZ",2013,0.437
"MOZ",2018,0.4
"MOZ",2023,0.351
"NPL",2003,0.224
"NPL",2008,0.478
"NPL",2013,0.28
"NPL",2018,0.633
"NPL",2023,0.685
"NIC",2003,0.591
"NIC",2008,0.445
"NIC",2013,0.319
"NIC",2018,0.221
"NIC",2023,0.158
"NER",2003,0.543
"NER",2008,0.576
"NER",2013,0.629
"NER",2018,0.53
"NER",2023,0.388
"ZMB",2003,0.484
"ZMB",2008,0.51
"ZMB",2013,0.485
"ZMB",2018,0.37
"ZMB",2023,0.525
"ZWE",2003,0.269
"ZWE",2008,0.251
"ZWE",2013,0.289
"ZWE",2018,0.313
"ZWE",2023,0.296
"GIN",2003,0.277
"GIN",2008,0.271
"GIN",2013,0.322
"GIN",2018,0.373
"GIN",2023,0.169
"CIV",2003,0.439
"CIV",2008,0.436
"CIV",2013,0.465
"CIV",2018,0.54
"CIV",2023,0.445
"MRT",2003,0.313
"MRT",2008,0.4
"MRT",2013,0.416
"MRT",2018,0.391
"MRT",2023,0.368
"CAN",2003,0.825
"CAN",2008,0.827
"CAN",2013,0.817
"CAN",2018,0.84
"CAN",2023,0.847
"AUS",2003,0.879
"AUS",2008,0.889
"AUS",2013,0.862
"AUS",2018,0.86
"AUS",2023,0.851
"BWA",2003,0.702
"BWA",2008,0.715
"BWA",2013,0.713
"BWA",2018,0.672
"BWA",2023,0.564
"BDI",2003,0.209
"BDI",2008,0.405
"BDI",2013,0.278
"BDI",2018,0.157
"BDI",2023,0.186
"CPV",2003,0.767
"CPV",2008,0.782
"CPV",2013,0.794
"CPV",2018,0.783
"CPV",2023,0.75
"CAF",2003,0.245
"CAF",2008,0.342
"CAF",2013,0.272
"CAF",2018,0.406
"CAF",2023,0.301
"CHL",2003,0.88
"CHL",2008,0.894
"CHL",2013,0.894
"CHL",2018,0.87
"CHL",2023,0.836
"CRI",2003,0.895
"CRI",2008,0.908
"CRI",2013,0.907
"CRI",2018,0.89
"CRI",2023,0.862
"TLS",2003,0.573
"TLS",2008,0.618
"TLS",2013,0.661
"TLS",2018,0.689
"TLS",2023,0.714
"ECU",2003,0.698
"ECU",2008,0.634
"ECU",2013,0.538
"ECU",2018,0.641
"ECU",2023,0.641
"FRA",2003,0.874
"FRA",2008,0.885
"FRA",2013,0.89
"FRA",2018,0.874
"FRA",2023,0.871
"DEU",2003,0.896
"DEU",2008,0.902
"DEU",2013,0.892
"DEU",2018,0.881
"DEU",2023,0.855
"GTM",2003,0.543
"GTM",2008,0.582
"GTM",2013,0.574
"GTM",2018,0.602
"GTM",2023,0.506
"IRN",2003,0.232
"IRN",2008,0.167
"IRN",2013,0.174
"IRN",2018,0.182
"IRN",2023,0.153
"IRQ",2003,0.184
"IRQ",2008,0.426
"IRQ",2013,0.414
"IRQ",2018,0.398
"IRQ",2023,0.371
"IRL",2003,0.882
"IRL",2008,0.896
"IRL",2013,0.895
"IRL",2018,0.89
"IRL",2023,0.894
"ITA",2003,0.837
"ITA",2008,0.855
"ITA",2013,0.864
"ITA",2018,0.864
"ITA",2023,0.806
"JOR",2003,0.208
"JOR",2008,0.232
"JOR",2013,0.255
"JOR",2018,0.261
"JOR",2023,0.252
"LVA",2003,0.822
"LVA",2008,0.792
"LVA",2013,0.83
"LVA",2018,0.832
"LVA",2023,0.846
"LSO",2003,0.614
"LSO",2008,0.561
"LSO",2013,0.619
"LSO",2018,0.601
"LSO",2023,0.667
"LBR",2003,0.303
"LBR",2008,0.655
"LBR",2013,0.618
"LBR",2018,0.621
"LBR",2023,0.624
"MWI",2003,0.478
"MWI",2008,0.443
"MWI",2013,0.56
"MWI",2018,0.528
"MWI",2023,0.571
"MDV",2003,0.171
"MDV",2008,0.459
"MDV",2013,0.453
"MDV",2018,0.391
"MDV",2023,0.596
"MNG",2003,0.672
"MNG",2008,0.653
"MNG",2013,0.684
"MNG",2018,0.653
"MNG",2023,0.534
"MAR",2003,0.253
"MAR",2008,0.252
"MAR",2013,0.269
"MAR",2018,0.262
"MAR",2023,0.262
"NLD",2003,0.86
"NLD",2008,0.872
"NLD",2013,0.878
"NLD",2018,0.876
"NLD",2023,0.847
"PAN",2003,0.738
"PAN",2008,0.736
"PAN",2013,0.748
"PAN",2018,0.732
"PAN",2023,0.722
"PNG",2003,0.541
"PNG",2008,0.478
"PNG",2013,0.448
"PNG",2018,0.457
"PNG",2023,0.466
"QAT",2003,0.041
"QAT",2008,0.041
"QAT",2013,0.042
"QAT",2018,0.042
"QAT",2023,0.087
"SLE",2003,0.56
"SLE",2008,0.517
"SLE",2013,0.514
"SLE",2018,0.548
"SLE",2023,0.512
"ESP",2003,0.875
"ESP",2008,0.886
"ESP",2013,0.875
"ESP",2018,0.851
"ESP",2023,0.846
"SYR",2003,0.15
"SYR",2008,0.144
"SYR",2013,0.136
"SYR",2018,0.135
"SYR",2023,0.145
"TUN",2003,0.19
"TUN",2008,0.191
"TUN",2013,0.761
"TUN",2018,0.728
"TUN",2023,0.432
"TUR",2003,0.651
"TUR",2008,0.554
"TUR",2013,0.469
"TUR",2018,0.295
"TUR",2023,0.285
"UKR",2003,0.392
"UKR",2008,0.608
"UKR",2013,0.459
"UKR",2018,0.43
"UKR",2023,0.39
"GBR",2003,0.857
"GBR",2008,0.87
"GBR",2013,0.864
"GBR",2018,0.875
"GBR",2023,0.852
"URY",2003,0.873
"URY",2008,0.892
"URY",2013,0.91
"URY",2018,0.896
"URY",2023,0.833
"DZA",2003,0.331
"DZA",2008,0.329
"DZA",2013,0.327
"DZA",2018,0.305
"DZA",2023,0.265
"AGO",2003,0.166
"AGO",2008,0.181
"AGO",2013,0.29
"AGO",2018,0.35
"AGO",2023,0.329
"ARM",2003,0.349
"ARM",2008,0.317
"ARM",2013,0.349
"ARM",2018,0.524
"ARM",2023,0.631
"AZE",2003,0.238
"AZE",2008,0.212
"AZE",2013,0.202
"AZE",2018,0.192
"AZE",2023,0.185
"BLR",2003,0.241
"BLR",2008,0.224
"BLR",2013,0.242
"BLR",2018,0.252
"BLR",2023,0.157
"CMR",2003,0.309
"CMR",2008,0.311
"CMR",2013,0.319
"CMR",2018,0.293
"CMR",2023,0.279
"TCD",2003,0.273
"TCD",2008,0.277
"TCD",2013,0.277
"TCD",2018,0.267
"TCD",2023,0.148
"CHN",2003,0.103
"CHN",2008,0.095
"CHN",2013,0.086
"CHN",2018,0.076
"CHN",2023,0.074
"COD",2003,0.18
"COD",2008,0.357
"COD",2013,0.319
"COD",2018,0.306
"COD",2023,0.333
"COG",2003,0.257
"COG",2008,0.252
"COG",2013,0.249
"COG",2018,0.258
"COG",2023,0.253
"DJI",2003,0.262
"DJI",2008,0.242
"DJI",2013,0.244
"DJI",2018,0.25
"DJI",2023,0.25
"DOM",2003,0.671
"DOM",2008,0.638
"DOM",2013,0.6
"DOM",2018,0.573
"DOM",2023,0.692
"ERI",2003,0.067
"ERI",2008,0.067
"ERI",2013,0.07
"ERI",2018,0.068
"ERI",2023,0.068
"GAB",2003,0.344
"GAB",2008,0.351
"GAB",2013,0.375
"GAB",2018,0.386
"GAB",2023,0.325
"GMB",2003,0.257
"GMB",2008,0.243
"GMB",2013,0.241
"GMB",2018,0.538
"GMB",2023,0.635
"GEO",2003,0.384
"GEO",2008,0.495
"GEO",2013,0.623
"GEO",2018,0.663
"GEO",2023,0.591
"GNB",2003,0.376
"GNB",2008,0.402
"GNB",2013,0.288
"GNB",2018,0.51
"GNB",2023,0.428
"JAM",2003,0.743
"JAM",2008,0.774
"JAM",2013,0.798
"JAM",2018,0.807
"JAM",2023,0.798
"KAZ",2003,0.247
"KAZ",2008,0.241
"KAZ",2013,0.229
"KAZ",2018,0.232
"KAZ",2023,0.269
"KGZ",2003,0.282
"KGZ",2008,0.306
"KGZ",2013,0.447
"KGZ",2018,0.467
"KGZ",2023,0.348
"LAO",2003,0.09
"LAO",2008,0.09
"LAO",2013,0.091
"LAO",2018,0.125
"LAO",2023,0.132
"LBY",2003,0.072
"LBY",2008,0.072
"LBY",2013,0.54
"LBY",2018,0.268
"LBY",2023,0.196
"MDG",2003,0.495
"MDG",2008,0.504
"MDG",2013,0.246
"MDG",2018,0.481
"MDG",2023,0.461
"MDA",2003,0.506
"MDA",2008,0.435
"MDA",2013,0.638
"MDA",2018,0.506
"MDA",2023,0.712
"NAM",2003,0.651
"NAM",2008,0.662
"NAM",2013,0.65
"NAM",2018,0.682
"NAM",2023,0.622
"PSE",2003,0.502
"PSE",2008,0.234
"PSE",2013,0.246
"PSE",2018,0.265
"PSE",2023,0.229
"RWA",2003,0.143
"RWA",2008,0.203
"RWA",2013,0.221
"RWA",2018,0.226
"RWA",2023,0.212
"SOM",2003,0.166
"SOM",2008,0.172
"SOM",2013,0.162
"SOM",2018,0.154
"SOM",2023,0.167
"LKA",2003,0.529
"LKA",2008,0.368
"LKA",2013,0.418
"LKA",2018,0.612
"LKA",2023,0.585
"SWZ",2003,0.125
"SWZ",2008,0.127
"SWZ",2013,0.13
"SWZ",2018,0.132
"SWZ",2023,0.121
"TJK",2003,0.245
"TJK",2008,0.229
"TJK",2013,0.206
"TJK",2018,0.164
"TJK",2023,0.164
"TGO",2003,0.304
"TGO",2008,0.433
"TGO",2013,0.432
"TGO",2018,0.428
"TGO",2023,0.389
"TTO",2003,0.776
"TTO",2008,0.801
"TTO",2013,0.777
"TTO",2018,0.784
"TTO",2023,0.778
"TKM",2003,0.069
"TKM",2008,0.141
"TKM",2013,0.144
"TKM",2018,0.149
"TKM",2023,0.148
"PSG",2008,0.133
"PSG",2013,0.129
"PSG",2018,0.118
"PSG",2023,0.122
"SML",2003,0.356
"SML",2008,0.393
"SML",2013,0.402
"SML",2018,0.4
"SML",2023,0.402
"UZB",2003,0.157
"UZB",2008,0.163
"UZB",2013,0.166
"UZB",2018,0.189
"UZB",2023,0.215
"AUT",2003,0.858
"AUT",2008,0.872
"AUT",2013,0.875
"AUT",2018,0.851
"AUT",2023,0.848
"BHR",2003,0.211
"BHR",2008,0.22
"BHR",2013,0.162
"BHR",2018,0.13
"BHR",2023,0.138
"BRB",2003,0.767
"BRB",2008,0.783
"BRB",2013,0.781
"BRB",2018,0.776
"BRB",2023,0.802
"BEL",2003,0.886
"BEL",2008,0.899
"BEL",2013,0.902
"BEL",2018,0.9
"BEL",2023,0.895
"BIH",2003,0.661
"BIH",2008,0.562
"BIH",2013,0.56
"BIH",2018,0.513
"BIH",2023,0.502
"BGR",2003,0.721
"BGR",2008,0.711
"BGR",2013,0.657
"BGR",2018,0.612
"BGR",2023,0.659
"COM",2003,0.369
"COM",2008,0.414
"COM",2013,0.467
"COM",2018,0.367
"COM",2023,0.264
"HRV",2003,0.769
"HRV",2008,0.779
"HRV",2013,0.828
"HRV",2018,0.729
"HRV",2023,0.725
"CUB",2003,0.114
"CUB",2008,0.105
"CUB",2013,0.168
"CUB",2018,0.177
"CUB",2023,0.175
"CYP",2003,0.805
"CYP",2008,0.836
"CYP",2013,0.847
"CYP",2018,0.836
"CYP",2023,0.777
"CZE",2003,0.891
"CZE",2008,0.897
"CZE",2013,0.863
"CZE",2018,0.81
"CZE",2023,0.863
"DNK",2003,0.908
"DNK",2008,0.921
"DNK",2013,0.921
"DNK",2018,0.918
"DNK",2023,0.917
"GNQ",2003,0.185
"GNQ",2008,0.179
"GNQ",2013,0.177
"GNQ",2018,0.177
"GNQ",2023,0.183
"EST",2003,0.868
"EST",2008,0.871
"EST",2013,0.883
"EST",2018,0.906
"EST",2023,0.893
"FJI",2003,0.53
"FJI",2008,0.131
"FJI",2013,0.14
"FJI",2018,0.403
"FJI",2023,0.509
"FIN",2003,0.871
"FIN",2008,0.881
"FIN",2013,0.891
"FIN",2018,0.884
"FIN",2023,0.853
"GRC",2003,0.887
"GRC",2008,0.9
"GRC",2013,0.889
"GRC",2018,0.859
"GRC",2023,0.735
"GUY",2003,0.588
"GUY",2008,0.576
"GUY",2013,0.608
"GUY",2018,0.664
"GUY",2023,0.484
"HKG",2003,0.372
"HKG",2008,0.369
"HKG",2013,0.358
"HKG",2018,0.318
"HKG",2023,0.149
"ISL",2003,0.867
"ISL",2008,0.88
"ISL",2013,0.858
"ISL",2018,0.875
"ISL",2023,0.841
"ISR",2003,0.76
"ISR",2008,0.758
"ISR",2013,0.734
"ISR",2018,0.705
"ISR",2023,0.704
"KWT",2003,0.282
"KWT",2008,0.324
"KWT",2013,0.311
"KWT",2018,0.32
"KWT",2023,0.314
"LTU",2003,0.814
"LTU",2008,0.824
"LTU",2013,0.826
"LTU",2018,0.818
"LTU",2023,0.785
"LUX",2003,0.869
"LUX",2008,0.87
"LUX",2013,0.873
"LUX",2018,0.874
"LUX",2023,0.871
"MKD",2003,0.617
"MKD",2008,0.553
"MKD",2013,0.448
"MKD",2018,0.575
"MKD",2023,0.562
"MYS",2003,0.286
"MYS",2008,0.328
"MYS",2013,0.321
"MYS",2018,0.444
"MYS",2023,0.508
"MLT",2003,0.788
"MLT",2008,0.803
"MLT",2013,0.793
"MLT",2018,0.754
"MLT",2023,0.783
"MUS",2003,0.737
"MUS",2008,0.737
"MUS",2013,0.738
"MUS",2018,0.739
"MUS",2023,0.47
"MNE",2003,0.503
"MNE",2008,0.506
"MNE",2013,0.494
"MNE",2018,0.482
"MNE",2023,0.61
"NZL",2003,0.88
"NZL",2008,0.88
"NZL",2013,0.887
"NZL",2018,0.888
"NZL",2023,0.88
"NOR",2003,0.893
"NOR",2008,0.898
"NOR",2013,0.897
"NOR",2018,0.883
"NOR",2023,0.89
"OMN",2003,0.151
"OMN",2008,0.157
"OMN",2013,0.171
"OMN",2018,0.176
"OMN",2023,0.172
"PRY",2003,0.565
"PRY",2008,0.62
"PRY",2013,0.585
"PRY",2018,0.583
"PRY",2023,0.576
"ROU",2003,0.609
"ROU",2008,0.621
"ROU",2013,0.672
"ROU",2018,0.692
"ROU",2023,0.677
"STP",2003,0.637
"STP",2008,0.643
"STP",2013,0.655
"STP",2018,0.65
"STP",2023,0.644
"SAU",2003,0.018
"SAU",2008,0.019
"SAU",2013,0.018
"SAU",2018,0.015
"SAU",2023,0.014
"SRB",2003,0.646
"SRB",2008,0.628
"SRB",2013,0.502
"SRB",2018,0.354
"SRB",2023,0.36
"SYC",2003,0.396
"SYC",2008,0.48
"SYC",2013,0.491
"SYC",2018,0.605
"SYC",2023,0.728
"SGP",2003,0.377
"SGP",2008,0.387
"SGP",2013,0.414
"SGP",2018,0.409
"SGP",2023,0.405
"SVK",2003,0.843
"SVK",2008,0.834
"SVK",2013,0.835
"SVK",2018,0.814
"SVK",2023,0.812
"SVN",2003,0.841
"SVN",2008,0.825
"SVN",2013,0.854
"SVN",2018,0.83
"SVN",2023,0.76
"SLB",2003,0.507
"SLB",2008,0.559
